Find the boost-plus-rotation that equates to 2 perpendicular boosts.

Event:[10.0, 1.0, 1.0, 1.0]
Corner-boost transform: boost [0.97,0.0,0.0] boost [0.0,0.95,0.0]
 Event after corner-boost: [115.91503, -35.78702, -109.80703, 1.0]

Boost+rotation transform: boost [0.97,0.23095,0.0] rotation[0.0,0.0,-1.02842]
 Event after boost+rotation: [115.91503, -35.78702, -109.80703, 1.0]

Order matters. Rotation+boost isn't the same. The operations don't commute.
But there is apparently a DIFFERENT rotation+boost that is indeed the same (not implemented here).
Rotation+boost transform: rotation[0.0,0.0,-1.02842] boost [0.97,0.23095,0.0]
 Event from rotation+boost: [131.90826, -128.27952, -29.0887, 1.0]

β                    β                    Equivalent           Equivalent    θw      (v = vx + vy)         (v = vy + vx)     
X-axis               Y-axis               β                    direction                                                     
-----------------------------------------------------------------------------------------------------------------------------
0.3                  0.97                 0.9727378886421563    72.037°   -13.664°   [0.3,0.92532,0.0]     [0.07293,0.97,0.0]    
0.3                  0.98                 0.9818166835005403    72.208°   -14.306°   [0.3,0.93486,0.0]     [0.0597,0.98,0.0]     
0.3                  0.99                 0.9909041325981037    72.377°   -15.175°   [0.3,0.9444,0.0]      [0.04232,0.99,0.0]    
0.3                  0.999                0.9990900409872977    72.526°   -16.705°   [0.3,0.95299,0.0]     [0.01341,0.999,0.0]   
0.3                  0.9999               0.9999090004095373    72.541°   -17.216°   [0.3,0.95384,0.0]     [0.00424,0.9999,0.0]  
0.3                  0.9999999895816072   0.9999999905192626    72.542°   -17.455°   [0.3,0.95394,0.0]     [4.0E-5,1.0,0.0]      
0.4                  0.1                  0.4103656905736638    12.905°    -1.199°   [0.4,0.09165,0.0]     [0.39799,0.1,0.0]     
0.4                  0.2                  0.4400000000000001    24.620°    -2.416°   [0.4,0.1833,0.0]      [0.39192,0.2,0.0]     
0.4                  0.3                  0.4853864439804639    34.504°    -3.671°   [0.4,0.27495,0.0]     [0.38158,0.3,0.0]     
0.4                  0.4                  0.5425863986500216    42.506°    -4.989°   [0.4,0.36661,0.0]     [0.36661,0.4,0.0]     
0.4                  0.5                  0.6082762530298220    48.883°    -6.402°   [0.4,0.45826,0.0]     [0.34641,0.5,0.0]     
0.4                  0.6                  0.6799999999999999    53.968°    -7.959°   [0.4,0.54991,0.0]     [0.32,0.6,0.0]        
0.4                  0.7                  0.7560423268574319    58.057°    -9.743°   [0.4,0.64156,0.0]     [0.28566,0.7,0.0]     
0.4                  0.8                  0.8352245207128441    61.386°   -11.915°   [0.4,0.73321,0.0]     [0.24,0.8,0.0]        
0.4                  0.9                  0.9167333309092673    64.130°   -14.906°   [0.4,0.82486,0.0]     [0.17436,0.9,0.0]     
0.4                  0.95                 0.9581753492967767    65.326°   -17.184°   [0.4,0.87069,0.0]     [0.1249,0.95,0.0]     
0.4                  0.96                 0.9665112518744933    65.553°   -17.793°   [0.4,0.87985,0.0]     [0.112,0.96,0.0]      
0.4                  0.97                 0.9748620415217735    65.775°   -18.500°   [0.4,0.88902,0.0]     [0.09724,0.97,0.0]    
0.4                  0.98                 0.9832273389201504    65.995°   -19.362°   [0.4,0.89818,0.0]     [0.0796,0.98,0.0]     
0.4                  0.99                 0.9916067769030222    66.210°   -20.528°   [0.4,0.90735,0.0]     [0.05643,0.99,0.0]    
0.4                  0.999                0.9991600672564932    66.401°   -22.574°   [0.4,0.9156,0.0]      [0.01788,0.999,0.0]   
0.4                  0.9999               0.9999160006720564    66.420°   -23.256°   [0.4,0.91642,0.0]     [0.00566,0.9999,0.0]  
0.4                  0.9999999895816072   0.9999999912485502    66.422°   -23.575°   [0.4,0.91652,0.0]     [6.0E-5,1.0,0.0]      
0.5                  0.1                  0.5074445782546110     9.826°    -1.539°   [0.5,0.0866,0.0]      [0.49749,0.1,0.0]     
0.5                  0.2                  0.5291502622129180    19.107°    -3.101°   [0.5,0.17321,0.0]     [0.4899,0.2,0.0]      
0.5                  0.3                  0.5634713834792322    27.457°    -4.712°   [0.5,0.25981,0.0]     [0.47697,0.3,0.0]     
0.5                  0.4                  0.6082762530298219    34.715°    -6.402°   [0.5,0.34641,0.0]     [0.45826,0.4,0.0]     
0.5                  0.5                  0.6614378277661476    40.893°    -8.213°   [0.5,0.43301,0.0]     [0.43301,0.5,0.0]     
0.5                  0.6                  0.7211102550927979    46.102°   -10.208°   [0.5,0.51962,0.0]     [0.4,0.6,0.0]         
0.5                  0.7                  0.7858116822750854    50.485°   -12.489°   [0.5,0.60622,0.0]     [0.35707,0.7,0.0]     
0.5                  0.8                  0.8544003745317531    54.183°   -15.262°   [0.5,0.69282,0.0]     [0.3,0.8,0.0]         
0.5                  0.9                  0.9260129588726067    57.320°   -19.067°   [0.5,0.77942,0.0]     [0.21794,0.9,0.0]     
0.5                  0.95                 0.9627434756984852    58.711°   -21.956°   [0.5,0.82272,0.0]     [0.15612,0.95,0.0]    
0.5                  0.96                 0.9701546268507923    58.977°   -22.726°   [0.5,0.83138,0.0]     [0.14,0.96,0.0]       
0.5                  0.97                 0.9775863133248133    59.239°   -23.619°   [0.5,0.84004,0.0]     [0.12155,0.97,0.0]    
0.5                  0.98                 0.9850380703302790    59.496°   -24.706°   [0.5,0.8487,0.0]      [0.0995,0.98,0.0]     
0.5                  0.99                 0.9925094457988800    59.750°   -26.175°   [0.5,0.85737,0.0]     [0.07053,0.99,0.0]    
0.5                  0.999                0.9992500938203607    59.975°   -28.743°   [0.5,0.86516,0.0]     [0.02236,0.999,0.0]   
0.5                  0.9999               0.9999250009375701    59.998°   -29.597°   [0.5,0.86594,0.0]     [0.00707,0.9999,0.0]  
0.5                  0.9999999895816072   0.9999999921862053    60.000°   -29.996°   [0.5,0.86603,0.0]     [7.0E-5,1.0,0.0]      
