Find the boost-plus-rotation that equates to 2 perpendicular boosts.

Event:[10.0, 1.0, 1.0, 1.0]
Corner-boost transform: boost[X,0.97] boost[Y,0.95]
 Event after corner-boost: [115.91503, -35.78702, -109.80703, 1.0]

Boost+rotation transform: rotation[0.0,0.0,0.23374] boost[X,0.99711] rotation[0.0,0.0,-1.02842] rotation[0.0,0.0,-0.23374]
 Event after boost+rotation: [115.91503, -35.78702, -109.80703, 1.0]
Note the presence here of a 'housekeeping' rotation at the start/end. That's an artifact of this code always using an axis.

Order matters. Rotation+boost isn't the same. The operations don't commute.
But there is apparently a DIFFERENT rotation+boost that is indeed the same (not implemented here).
Rotation+boost transform: rotation[0.0,0.0,0.23374] rotation[0.0,0.0,-1.02842] boost[X,0.99711] rotation[0.0,0.0,-0.23374]
 Event from rotation+boost: [131.90826, -128.27952, -29.0887, 1.0]

βx                   βy                   equivβ               equivDirection    θw
0.6                  0.6                  0.7683749084919419       38.660°   -12.680°
0.6                  0.7                  0.8207313811473276       43.025°   -15.503°
0.6                  0.8                  0.8772684879784525       46.848°   -18.925°
0.6                  0.9                  0.9372299611087985       50.194°   -23.602°
0.6                  0.95                 0.9682974749528164       51.710°   -27.134°
0.6                  0.96                 0.9745891442038538       52.001°   -28.073°
0.6                  0.97                 0.9809057039287722       52.289°   -29.159°
0.6                  0.98                 0.9872466763681709       52.573°   -30.481°
0.6                  0.99                 0.9936115941352537       52.853°   -32.260°
0.6                  0.999                0.9993601152737686       53.103°   -35.359°
0.6                  0.9999               0.9999360011520738       53.127°   -36.387°
0.6                  0.9999999895816072   0.9999999933322286       53.130°   -36.865°
0.7                  0.1                  0.7036334272900912        5.825°    -2.345°
0.7                  0.2                  0.7144228439796702       11.532°    -4.725°
0.7                  0.3                  0.7320519107276479       17.017°    -7.175°
0.7                  0.4                  0.7560423268574319       22.200°    -9.743°
0.7                  0.5                  0.7858116822750857       27.026°   -12.489°
0.7                  0.6                  0.8207313811473276       31.472°   -15.503°
0.7                  0.7                  0.8601744009211155       35.532°   -18.936°
0.7                  0.8                  0.9035485598461215       39.220°   -23.081°
0.7                  0.9                  0.9503157370053387       42.558°   -28.714°
0.7                  0.95                 0.9748204962966259       44.104°   -32.939°
0.7                  0.96                 0.9798040620450601       44.404°   -34.057°
0.7                  0.97                 0.9848141956734783       44.700°   -35.349°
0.7                  0.98                 0.9898504937615579       44.994°   -36.916°
0.7                  0.99                 0.9949125589718928       45.285°   -39.019°
0.7                  0.999                0.9994901250137492       45.544°   -42.661°
0.7                  0.9999               0.9999490012495638       45.570°   -43.863°
0.7                  0.9999999895816072   0.9999999946866197       45.573°   -44.421°
0.8                  0.1                  0.8022468448052633        4.289°    -2.871°
0.8                  0.2                  0.8089499366462675        8.531°    -5.783°
0.8                  0.3                  0.8200000000000001       12.680°    -8.780°
0.8                  0.4                  0.835224520712844        16.699°   -11.915°
0.8                  0.5                  0.8544003745317532       20.556°   -15.262°
0.8                  0.6                  0.8772684879784525       24.228°   -18.925°
0.8                  0.7                  0.9035485598461215       27.700°   -23.081°
0.8                  0.8                  0.9329523031752481       30.964°   -28.073°
0.8                  0.9                  0.9651942809610924       34.019°   -34.801°
0.8                  0.95                 0.9822932352408826       35.470°   -39.798°
0.8                  0.96                 0.9857869952479592       35.754°   -41.112°
0.8                  0.97                 0.9893048064171123       36.036°   -42.627°
0.8                  0.98                 0.9928464130972121       36.316°   -44.457°
0.8                  0.99                 0.9964115615547623       36.594°   -46.903°
0.8                  0.999                0.9996401152414803       36.842°   -51.107°
0.8                  0.9999               0.9999640011520414       36.867°   -52.485°
