Kinematic (Wigner) rotation (θw) for various combined speeds.
Here, the pair of velocities are at always at right angles to each other.

β1                   β2                       θw°
0.97                 0.6                    -29.16°
0.97                 0.7                    -35.35°
0.97                 0.8                    -42.63°
0.97                 0.9                    -52.13°
0.97                 0.95                   -58.92°
0.97                 0.96                   -60.67°
0.97                 0.97                   -62.67°
0.97                 0.98                   -65.06°
0.97                 0.99                   -68.20°
0.97                 0.999                  -73.46°
0.97                 0.9999                 -75.15°
0.97                 0.9999999895816072     -75.92°
0.98                 0.1                     -4.69°
0.98                 0.2                     -9.44°
0.98                 0.3                    -14.31°
0.98                 0.4                    -19.36°
0.98                 0.5                    -24.71°
0.98                 0.6                    -30.48°
0.98                 0.7                    -36.92°
0.98                 0.8                    -44.46°
0.98                 0.9                    -54.25°
0.98                 0.95                   -61.23°
0.98                 0.96                   -63.02°
0.98                 0.97                   -65.06°
0.98                 0.98                   -67.49°
0.98                 0.99                   -70.68°
0.98                 0.999                  -76.02°
0.98                 0.9999                 -77.73°
0.98                 0.9999999895816072     -78.51°
0.99                 0.1                     -4.98°
0.99                 0.2                    -10.02°
0.99                 0.3                    -15.18°
0.99                 0.4                    -20.53°
0.99                 0.5                    -26.17°
0.99                 0.6                    -32.26°
0.99                 0.7                    -39.02°
0.99                 0.8                    -46.90°
0.99                 0.9                    -57.08°
0.99                 0.95                   -64.27°
0.99                 0.96                   -66.10°
0.99                 0.97                   -68.20°
0.99                 0.98                   -70.68°
0.99                 0.99                   -73.94°
0.99                 0.999                  -79.36°
0.99                 0.9999                 -81.09°
0.99                 0.9999999895816072     -81.88°
0.999                0.1                     -5.49°
0.999                0.2                    -11.04°
0.999                0.3                    -16.70°
0.999                0.4                    -22.57°
0.999                0.5                    -28.74°
0.999                0.6                    -35.36°
0.999                0.7                    -42.66°
0.999                0.8                    -51.11°
0.999                0.9                    -61.87°
0.999                0.95                   -69.39°
0.999                0.96                   -71.30°
0.999                0.97                   -73.46°
0.999                0.98                   -76.02°
