Event:[10.0, 1.0, 1.0, 1.0, YES]
Dogleg transform: boost[X,0.97] boost[Y,0.95]
Dogleg:           [115.91503043007748, -35.78701803585312, -109.80702900865369, 1.0, YES]

Boost+rotation transform: rotate[Z,0.23374053585196874] boost[X,0.9971147125581891] rotate[Z,-1.028420353109959] rotate[Z,-0.23374053585196874]
Boost + rotation ev: [115.91503043007783, -35.78701803585324, -109.80702900865401, 1.0, YES]

Order matters. Rotation+boost isn't the same.
Rotation+boost transform: rotate[Z,0.23374053585196874] rotate[Z,-1.028420353109959] boost[X,0.9971147125581891] rotate[Z,-0.23374053585196874]
Rotation + boost ev: [131.90826026877232, -128.2795249003928, -29.088702591619267, 1.0, YES]

βx   βy   β-equiv            β-direction-degs  θw-degs
---------------------------------------------------------
0.1 0.1 0.14106735979665935 44.85604014911159 -0.2879197017768158
0.1 0.2 0.2227105745132011 63.31960697214824 -0.5802542455653706
0.1 0.3 0.31480152477394363 71.47850117953685 -0.8818893487258453
0.1 0.4 0.4103656905736634 75.895860083893 -1.1987934359774617
0.1 0.5 0.5074445782546111 78.6345695366867 -1.539000647481016
0.1 0.6 0.6053098380168622 80.49087678781419 -1.9144798435943664
0.1 0.7 0.7036334272900912 81.82949134640796 -2.345323994105793
0.1 0.8 0.8022468448052633 82.83946080240383 -2.8713858687771556
0.1 0.9 0.9010549372818508 83.62812959415197 -3.5990758268516116
0.1 0.95 0.9505130193742745 83.9609449344094 -4.156511592662818
0.1 0.96 0.9604082465285271 84.02339406051557 -4.30595266808446
0.1 0.97 0.9703045913526329 84.08456939397985 -4.479763554873663
0.1 0.98 0.9802020199938377 84.14450937889978 -4.692210063191459
0.1 0.99 0.9901004999493739 84.20325093307173 -4.980383674936788
0.1 0.999 0.9990100049549053 84.25512301522815 -5.488451820963653
0.1 0.9999 0.999901000049505 84.260259380481 -5.65870612737836
0.1 0.9999999895816072 0.9999999896857912 84.26082946333943 -5.738343474793279
0.2 0.1 0.2227105745132011 26.100138782286383 -0.5802542455653706
0.2 0.2 0.28000000000000025 44.415308597192976 -1.1693828056140503
0.2 0.3 0.3555277766926232 55.76808791765666 -1.7772052607713216
0.2 0.4 0.4399999999999999 62.9643082105877 -2.4157144607551873
0.2 0.5 0.5291502622129185 67.79234570140352 -3.1010489477273935
0.2 0.6 0.620966987850401 71.21134088230771 -3.857241939554732
0.2 0.7 0.7144228439796702 73.74300290538396 -4.7246217800003665
0.2 0.8 0.8089499366462675 75.68610007057428 -5.783134319477596
0.2 0.9 0.9042123644365853 77.22124054057578 -7.246097667599418
0.2 0.95 0.9520504188329524 77.87337513026468 -8.36559378862582
0.2 0.96 0.9616319462247498 77.99601162965108 -8.665517826584578
0.2 0.97 0.9712177922587704 78.11622784485175 -9.014238585694754
0.2 0.98 0.9808078303113205 78.23409369597393 -9.440303441448364
0.2 0.99 0.990401938608765 78.3496764751967 -10.01792407191957
0.2 0.999 0.9990400192184495 78.45180254450496 -11.035357399742608
0.2 0.9999 0.9999040001920184 78.46191809599524 -11.376013243908346
0.2 0.9999999895816072 0.9999999899983429 78.46304085021062 -11.535305026055157
0.3 0.1 0.31480152477394363 17.639609471737316 -0.8818893487258453
0.3 0.2 0.3555277766926232 32.45470682157203 -1.7772052607713216
0.3 0.3 0.41460824883255737 43.64959939745657 -2.7008012050868686
0.3 0.4 0.48538644398046354 51.825088128792665 -3.670810667428846
0.3 0.5 0.5634713834792323 57.83130174030367 -4.711622163758075
0.3 0.6 0.6462197768561404 62.33905979333192 -5.859530720316269
0.3 0.7 0.7320519107276479 65.80728835400542 -7.175393752051963
0.3 0.8 0.8200000000000001 68.53987225057438 -8.779744257605806
0.3 0.9 0.9094503834734471 70.73914134725935 -10.993826372219617
0.3 0.95 0.9546072490820505 71.68352946503146 -12.68501138946766
0.3 0.96 0.9636679926198649 71.86177272694302 -13.137582675498557
0.3 0.97 0.9727378886421563 72.03669374294529 -13.663493722917844
0.3 0.98 0.9818166835005402 72.20838136814001 -14.30560524335846
0.3 0.99 0.9909041325981035 72.37692143519989 -15.175306907084627
0.3 0.999 0.9990900409872976 72.52598493481366 -16.704780658748977
0.3 0.9999 0.9999090004095373 72.54075702634742 -17.21614079396235
0.3 0.9999999895816072 0.9999999905192626 72.54239670544744 -17.455122108952068
0.4 0.1 0.4103656905736634 12.905346480129543 -1.1987934359774617
0.4 0.2 0.4399999999999999 24.619977328657104 -2.4157144607551873
0.4 0.3 0.48538644398046354 34.50410120377849 -3.670810667428846
0.4 0.4 0.5425863986500212 42.50572901222197 -4.988541975556061
0.4 0.5 0.6082762530298219 48.88321708425613 -6.401778961795664
0.4 0.6 0.6799999999999999 53.96812092752944 -7.959392136617601
0.4 0.7 0.7560423268574319 58.05729873626101 -9.743232519901268
